Species,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
Cymbella turgidula,22,46,18,28,34,0,0,1,0,1,3,2,6,1,1
Cymbella turgidula var. nipponica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denticula tenuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatoma moniliformis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Diatoma vulgaris,13,25,18,15,41,0,3,2,0,0,0,0,1,0,1
Diploneis elliptica,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Diploneis pseudovalis,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Diploneis subovalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Encyonema caespitosum,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Encyonema lange-bertalotii,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0
Encyonema ventricosum,13,7,3,3,10,0,1,0,1,0,0,0,0,1,0
Encyonopsis microcephala,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Epithemia adnata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragilaria capitellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fragilaria capucina,5,3,1,1,2,1,14,1,2,0,2,9,11,2,0
Fragilaria capucina var. gracilis,3,0,0,0,0,0,5,1,0,0,1,0,4,0,2
Fragilaria capucina var. mesolepta,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
Fragilaria capucina var. rumpens,2,3,0,0,0,0,0,0,0,1,0,2,2,0,1
Fragilaria capucina var. vaucheriae,0,0,1,1,2,0,15,11,0,3,3,1,2,0,2
Fragilaria construens,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2
Fragilaria construens f. binodis,2,0,4,3,6,0,0,1,2,2,1,4,9,4,0
Fragilaria construens f. venter,22,18,12,13,2,0,9,0,1,0,0,0,1,0,0
Fragilaria crotonensis,55,41,38,22,18,1,9,5,2,1,6,9,7,7,2
Fragilaria delicatissima,0,0,0,0,0,1,0,0,1,0,17,48,63,41,27
Fragilaria elliptica,0,0,7,13,13,28,62,36,47,24,23,24,33,33,15
Fragilaria famelica,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Fragilaria fasciculata,3,2,5,1,3,0,0,0,0,0,0,0,0,0,0
Fragilaria pinnata,3,0,3,4,3,0,0,0,1,0,4,2,3,0,4
Fragilaria pulchella,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Fragilaria radians,1,0,1,0,0,1,2,6,0,0,1,1,0,1,1
Fragilaria ulna,4,3,2,3,5,1,4,3,0,0,11,20,21,11,4
Fragilaria virescens,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1
Gomphonema acuminatum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gomphonema angustatum,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Gomphonema clevei,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0
Gomphonema gracile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gomphonema lagenula,2,0,1,2,7,0,3,0,2,0,1,2,4,6,3
Gomphonema minutum,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0
Gomphonema olivaceum,27,16,15,18,16,0,0,0,0,0,1,0,0,0,0
Gomphonema parvulum,4,1,2,0,2,1,0,0,0,0,2,5,0,1,0
Gomphonema pseudoaugur,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gomphonema pseudosphaerophorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyrosigma procerum,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Gyrosigma scalproides,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Hantzschia amphioxys,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Hippodonta hungarica,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
Lindavia praetermissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melosira undulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melosira varians,10,12,11,11,17,6,13,5,2,0,28,14,27,14,11
Meridion circulare,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Navicula acceptata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula accomoda,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Navicula amphiceropsis,0,0,1,3,3,19,23,20,18,23,8,10,9,12,4
Navicula angusta,2,3,1,2,0,0,2,0,0,0,0,0,0,0,1
Navicula atomus,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0
Navicula bacillum,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
Navicula bryophila,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Navicula capitata,0,0,0,0,0,0,2,1,1,0,1,2,1,3,0
Navicula capitatoradiata,1,1,0,0,1,1,6,0,2,1,1,3,3,2,1
Navicula cincta,12,17,3,8,3,0,6,4,1,0,5,1,8,1,2
Navicula clementis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula confervacea,0,0,0,0,0,0,1,3,2,0,7,3,4,0,0
Navicula contenta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Navicula cryptocephala,3,1,3,0,1,2,1,1,0,0,0,2,4,0,1
Navicula cryptotenella,8,13,8,26,23,0,6,3,0,2,2,0,3,3,0
Navicula decussis,1,0,0,0,1,1,1,0,5,0,2,1,3,0,0
Navicula dismutica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula elginensis,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
Navicula germainii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Navicula goeppertiana,0,0,0,0,0,1,2,1,0,0,5,5,3,2,1
Navicula gregaria,18,23,25,35,40,6,22,14,18,22,9,12,21,22,26
Navicula hintzii,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Navicula hustedtii,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1
Navicula lanceolata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Navicula laterostrata,0,1,1,2,3,0,1,2,6,2,0,0,0,0,0
Navicula minima,2,4,3,1,0,44,46,63,43,115,5,7,5,0,7
Navicula minuscula,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Navicula mutica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Navicula notha,4,3,1,0,2,0,0,0,0,0,1,0,0,0,1
Navicula oppugnata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula perminuta,0,0,1,0,1,1,0,0,0,2,0,0,0,1,1
Navicula protracta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula pseudoanglica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula pseudolanceolata,0,0,0,0,0,1,15,7,10,9,2,0,1,1,0
Navicula pseudoventralis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Navicula pupula,4,8,2,5,3,0,2,1,2,0,2,0,2,2,0
Navicula radiosa,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula radiosafallax,0,0,0,0,1,0,1,1,2,1,2,4,4,2,2
Navicula recens,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Navicula rhynchocephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula salinarum,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0
Navicula saprophila,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula schroeteri,0,0,0,0,0,0,2,0,2,0,1,2,3,0,0
Navicula seibigiana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Navicula seminuloides,0,0,0,2,0,2,4,2,2,7,1,0,3,0,0
Navicula seminulum,0,0,0,1,0,101,86,63,40,105,8,3,8,0,8
Navicula stroemii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula subminuscula,0,0,1,1,0,1,2,0,1,2,0,2,2,0,3
Navicula suprinii,0,0,0,0,0,0,14,18,2,0,1,0,0,1,0
Navicula symmetrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula tenera,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navicula tripunctata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Navicula trivialis,0,0,0,0,0,5,19,9,5,5,0,0,0,2,1
Navicula veneta,10,9,5,8,6,3,5,3,6,2,1,2,5,2,4
Navicula ventralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Navicula viridula,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Navicula viridula var. linearis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Navicula viridula var. rostellata,12,7,7,10,10,1,3,3,2,1,0,4,5,3,1
Navicula yuraensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Navicula zanoni,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nitzschia acicularis,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1
Nitzschia amphibia,0,2,2,0,0,8,20,17,59,14,34,12,25,9,9
Nitzschia bacillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia bryophila,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nitzschia capitellata,0,0,0,0,0,0,0,0,1,0,5,8,15,24,18
Nitzschia clausii,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1
Nitzschia denticula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia dissipata,9,3,2,4,0,1,0,0,0,0,2,0,2,1,1
Nitzschia filiformis,0,0,0,0,0,3,1,1,3,0,2,1,1,2,1
Nitzschia fonticola,14,13,21,27,16,4,5,1,38,9,2,6,5,6,3
Nitzschia frustulum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia frustulum var. perminuta,0,0,0,0,0,2,1,0,3,1,3,1,1,4,3
Nitzschia gracilis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Nitzschia hantzschiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia homburgiensis,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1
Nitzschia hungarica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia inconspicua,10,5,2,6,8,11,21,26,145,27,3,4,3,3,4
Nitzschia intermedia,0,0,1,0,3,0,0,0,0,2,0,1,0,1,2
Nitzschia liebetruthii,0,0,0,0,2,0,0,0,1,0,1,0,1,3,0
Nitzschia linearis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia nana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nitzschia palea,6,0,5,2,2,4,5,1,5,2,1,4,10,8,12
Nitzschia paleacea,11,3,6,8,5,0,3,0,4,3,0,1,1,0,0
Nitzschia perminuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia recta,0,0,0,0,0,0,0,0,0,0,1,9,7,5,3
Nitzschia sinuata var. delongei,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nitzschia sinuata var. tabellaria,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0
Nitzschia subacicularis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nitzschia sublinearis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nitzschia tryblionella var. salinarum,0,0,0,0,0,1,1,2,1,0,3,0,0,0,0
