Com_Sp_lst,Species,Syn,M1a,M2a,M3a,M4a,M5a,M6a,M7a,M8a,M9a,M10a,M11a,M12a,M13a,T1a,T2a,T3a,T4a,T5a,T6a,T7a,T8a,T9a,T10a,T11a,T12a,T13a,T14a,T15a,T16a,T17a,M1b,M2b,M3b,M4b,M5b,M6b,M7b,M8b,M9b,M10b,M11b,M12b,M13b,T1b,T2b,T3b,T4b,T5b,T6b,T7b,T8b,T9b,T10b,T11b,T12b,T13b,T14b,T15b,T16b,T17b
Amphora copulata,Amphora copulata,NA,,2,,,,,,,,,1,,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphora inariensis,Amphora inariensis,NA,,3,,,,,,,,,,1,,,,,,,2,,,,,,1,,,13,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Amphora montana,NA,NA,,,,,,,,,,,,,17,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
Amphora pediculus,Amphora pediculus,NA,4,10,29,8,6,2,8,5,2,,12,55,,35,,,2,,16,,,,1,2,6,,2,17,,,,6,20,3,7,5,6,4,5,2,35,15,,21,,2,,,1,2,,,,3,6,3,28,,5,
Amphora veneta,NA,NA,,,,,,,2,,,,2,,5,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
Asterionella formosa,Asterionella formosa,NA,,,,,,,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,2,,,,,,,,,,,,,,,,,,
Aulacoseira alpigena,Aulacoseira alpigena,NA,1,,1,1,2,1,17,,3,8,31,16,,9,,,,,4,,,,,,,,,2,7,11,1,1,,4,2,6,62,13,19,18,54,39,29,2,,,,,,,2,,,,,,,,,
Aulacoseira ambigua,Aulacoseira ambigua,NA,2,,,6,2,1,16,1,10,5,30,33,2,,,,,,,,,,,1,,,7,8,,3,8,,,,2,25,28,3,13,14,27,33,50,1,2,,,,1,,,,,,,,15,,,2
Aulacoseira granulata,Aulacoseira granulata,NA,1,2,5,6,2,4,12,14,18,7,37,34,,15,,,,,,,,,,,,,,20,,1,8,,2,4,16,18,21,2,4,8,13,13,23,31,,,,,,1,,,,,,,7,,,3
Aulacoseira islandica,Aulacoseira islandica,NA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,
Aulacoseira muzzanensis,Aulacoseira muzzanensis,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,2,2,,,,,,,,,,,,,,,,,
Aulacoseira subarctica,Aulacoseira subarctica,NA,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulacoseira valida,Aulacoseira valida,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillaria paradoxa,Bacillaria paxillifera,NA,,,,,,,1,,,1,2,17,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,1,,1,,,,,,,1,,,,1,,,,,,
Caloneis bacillum,Caloneis bacillum,NA,,,,,,1,1,,1,,,,,13,,,,,1,1,,,,,,,,4,1,3,,,,,,,,,,,2,1,,1,,,,,,,,,,1,,,1,,,
Caloneis silicula,Caloneis silicula,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloneis tenuis,NA,NA,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cocconeis neodiminuta,Cocconeis neodiminuta,NA,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,
Cocconeis pediculus,Cocconeis pediculus,NA,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,
Cocconeis peltoides,NA,NA,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocconeis placentula,Cocconeis placentula,NA,,,3,,,,,,1,1,,,,,,,,,1,,1,,,,,2,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,
Cocconeis placentula var. euglypta,Cocconeis placentula var. euglypta,NA,2,1,5,,1,1,,,1,2,,3,,4,1,1,1,,1,1,2,,,,1,2,,,6,1,,1,,,1,1,,,,,,1,,,,2,1,,1,,,,,,1,,,,,
Cocconeis placentula var. lineata,Cocconeis placentula var. lineata,NA,,12,4,,,,,3,1,,,,,,2,,,,3,,,,,1,,,,2,60,3,,10,12,,,1,,,1,1,,,,,7,27,1,1,12,,,,1,1,3,4,,,15,5
Cyclostephanos dubius,Cyclostephanos dubius,NA,2,,,,,5,1,1,4,3,8,1,1,,,,,,,,,,1,1,,,,5,,1,1,,,4,6,9,1,1,3,1,2,3,2,,,,,,,1,,,,,,,,,,1
Cyclostephanos invisitatus,Cyclostephanos invisitatus,NA,,1,,,2,12,18,17,45,21,53,31,5,4,,,,,3,3,,,1,2,,,,8,,2,,2,1,34,36,37,9,14,18,28,20,26,15,8,,,,,1,5,,,13,,,,1,,,5
Cyclotella asterocostata,Discostella asterocostata,NA,,,,,,,,,,1,5,3,1,,,,,,,1,,,,,,,,8,,,,,,,,,,1,,1,3,1,,1,,,,,,,,,,,,,,,,
Cyclotella atomus,Cyclotella atomus,NA,,1,1,5,1,,,1,3,,10,13,,,,,,,,5,,,,2,,,1,1,,,,,,5,6,7,3,,3,29,50,55,16,,1,,,,1,2,,,20,9,,,3,,1,3
Cyclotella lacunarum,Cyclotella lacunarum (?),basionym: Cyclotella radiosa?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclotella meneghiniana,Cyclotella meneghiniana,NA,3,,,1,,2,2,1,7,3,11,3,,1,,2,,,1,3,,,1,3,1,1,,7,,1,,,,2,,4,,,4,8,3,12,7,,,,2,,,4,,1,3,4,,,,,2,
